FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
/system/ServiceAccount/controller-manager/path=2328894576/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role/path=797785426/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding,Medium,Roles with delete capabilities,176,862,79.58237
/litmus/ServiceAccount/litmus-server-account/path=2856795057/api=rbac.authorization.k8s.io/v1//ClusterRole/chaos-cr-for-litmusportal-server/path=3019692267/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/chaos-crb-for-litmusportal-server,Medium,Roles with delete capabilities,176,862,79.58237
/kadalu/ServiceAccount/kadalu-operator/path=4088997222/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=4105774841/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/default/path=2785400033/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3916622812/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/argocd/ServiceAccount/argocd-application-controller/path=1052549242/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller/path=951736433/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller,Medium,Roles with delete capabilities,176,862,79.58237
/argocd/ServiceAccount/argocd-server/path=1657290511/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-server/path=948230192/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-server,Medium,Roles with delete capabilities,176,862,79.58237
/argocd/ServiceAccount/argocd-server/path=716702672/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-server/path=948230192/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-server,Medium,Roles with delete capabilities,176,862,79.58237
//ServiceAccount/litmus-admin/path=4187916806/api=rbac.authorization.k8s.io/v1//RoleBinding/litmus-admin/path=4238249663/api=rbac.authorization.k8s.io/v1//Role/litmus-admin,Medium,Roles with delete capabilities,176,862,79.58237
/monitoring/ServiceAccount/prometheus-k8s/path=1029822911/api=rbac.authorization.k8s.io/v1//ClusterRole/prometheus-k8s/path=3985996927/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/prometheus-k8s,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/controller-manager/path=3424571727/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role/path=653107381/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/manager/path=1460432023/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3424571727/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/kadalu/ServiceAccount/kadalu-operator/path=2120798427/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator/path=4088997222/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator,Medium,Roles with delete capabilities,176,862,79.58237
